"id","market_name","city_or_town","municipality_or_region","street_address","latitude","longitude","market_type","days_of_week","schedule_text_en","schedule_text_fr","season_start","season_end","year_round","opening_time","closing_time","date_exceptions","products_summary_en","products_summary_fr","official_source_url","directions_url","source_type","schedule_year","last_checked","confidence","evidence_quote","notes_en","notes_fr"
"swon-013","Point Edward Moonlight Market","Point Edward","Village of Point Edward, Lambton County","Waterfront Park","","","seasonal community market","[""Thursday""]","Thursdays, 4 p.m. to 8 p.m. (season dates not stated).","Les jeudis, de 16 h à 20 h (les dates de la saison ne sont pas précisées).","","","False","16:00","20:00","","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://ontbluecoast.com/market-fresh-in-sarnia-lambton/","https://www.google.com/maps/search/?api=1&query=Point%20Edward%20Moonlight%20Market%2C%20Waterfront%20Park%2C%20Point%20Edward%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","Point Edward Moonlight Market Waterfront Park, Point Edward Thursday's 4 - 8 PM","FLAGGED - no season dates or schedule year published; regional tourism source only.","SIGNALÉ - aucune date de saison ni année d'horaire publiée; source touristique régionale seulement."
"swon-014","Covent Garden Market","London","City of London, Middlesex County","130 King Street","42.9825955","-81.2503345","public market","[""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]","Indoor public market open six days a week: Tuesday to Saturday 9 a.m. to 7 p.m., Sunday 10 a.m. to 5 p.m.; closed Monday. An outdoor farmers' market runs Saturdays 8 a.m. to 1 p.m.","Marché public intérieur ouvert six jours par semaine : du mardi au samedi de 9 h à 19 h, le dimanche de 10 h à 17 h; fermé le lundi. Un marché fermier extérieur a lieu le samedi de 8 h à 13 h.","","","True","09:00","19:00","Closed Mondays.","Food vendors, groceries and a weekly local farmers' market.","Comptoirs alimentaires, épicerie et marché fermier local hebdomadaire.","http://www.coventmarket.com","https://www.google.com/maps/search/?api=1&query=Covent%20Garden%20Market%2C%20130%20King%20Street%2C%20London%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Established in 1845, our bustling Market is located right in Downtown London and is open 6 days a week. ... 130 King Street London ON N6A 1C5 ... Tues - Sat: 9 am - 7 pm; Sunday: 10 am - 5 pm; Monday: CLOSED","Year-round indoor public market (distinct from a seasonal weekly farmers' market). The Saturday outdoor farmers' market hours 8 a.m.-1 p.m. come from the Farmers' Markets Ontario listing (https://farmersmarketsontario.com/markets/covent-garden-market-london); the market's own site references ""a weekly local farmers' market"" without hours.","Marché public intérieur ouvert à l'année (distinct d'un marché fermier hebdomadaire saisonnier). Les heures du marché extérieur du samedi (8 h à 13 h) proviennent de la fiche de Farmers' Markets Ontario; le site du marché mentionne « a weekly local farmers' market » sans préciser d'heures."
"swon-015","Downtown Strathroy Farmers' Market","Strathroy","Municipality of Strathroy-Caradoc, Middlesex County","Downtown Strathroy, behind City Hall and the Library off Thomas Street (Front and Frank Street)","","","farmers market","[""Saturday""]","Outdoor market every Saturday, 7 a.m. to 12 p.m., from the first Saturday in June to October.","Marché extérieur tous les samedis, de 7 h à 12 h, du premier samedi de juin jusqu'en octobre.","06-01","10-31","False","07:00","12:00","","Fresh vegetables (garlic, beans, blueberries, peppers, onions, tomatoes), fresh trout, bakery goods, cards, books and jewellery.","Légumes frais (ail, haricots, bleuets, poivrons, oignons, tomates), truite fraîche, produits de boulangerie, cartes, livres et bijoux.","https://strathroyfarmersmkt.wordpress.com/about/","https://www.google.com/maps/search/?api=1&query=Downtown%20Strathroy%20Farmers%27%20Market%2C%20Downtown%20Strathroy%2C%20behind%20City%20Hall%20and%20the%20Library%20off%20Thomas%20Street%20%28Front%20and%20Frank%20Street%29%2C%20Strathroy%2C%20Ontario%2C%20Canada","official market","","2026-08-28","Medium","The Downtown Strathroy Farmer's Market is located in downtown Strathroy, Ontario, behind City Hall and the Library off of Thomas Street. This is an outdoor market that operates every Saturday from 7 a.m. to 12 p.m beginning the first Saturday in June to October.","FLAGGED - conflicting hours and no schedule year. Middlesex County lists ""Downtown Strathroy Market ... Every Saturday from 9 AM - 12 PM | May 24 to August 30, 2025"" (https://www.visitmiddlesex.ca/articles/article/fresh-finds-and-local-vibes-explore-middlesex-countys-farmers-markets), a 2025 schedule.","SIGNALÉ - heures contradictoires et aucune année d'horaire. Le comté de Middlesex indique « Every Saturday from 9 AM - 12 PM | May 24 to August 30, 2025 », soit un horaire de 2025."
"swon-016","Ilderton Farmers Market","Ilderton","Municipality of Middlesex Centre, Middlesex County","Ilderton Municipal Parking Lot, Main Street (between King St. and Mill St.)","","","farmers market","[""Saturday""]","Saturdays, 9 a.m. to 12:30 p.m., June 6 to October 10 (year not stated).","Les samedis, de 9 h à 12 h 30, du 6 juin au 10 octobre (l'année n'est pas précisée).","06-06","10-10","False","09:00","12:30","","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://www.middlesexcentre.ca/events/food/ilderton-farmers-market","https://www.google.com/maps/search/?api=1&query=Ilderton%20Farmers%20Market%2C%20Ilderton%20Municipal%20Parking%20Lot%2C%20Main%20Street%20%28between%20King%20St.%20and%20Mill%20St.%29%2C%20Ilderton%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","The Ilderton Farmers Market is open on Saturdays from 9am to 12:30pm from June 6 to October 10. It's held at the Ilderton Municipal Parking Lot on Main St. (between King St. and Mill St.).","FLAGGED - conflicting details. The market's own site states ""Saturday Mornings June 7 - October 11 9 am - 12 noon ... 100 Meadowcreek Drive"" (https://www.ildertonfarmersmarket.com/), which matches the 2025 calendar; the municipal page's June 6 / October 10 matches 2026 Saturdays.","SIGNALÉ - détails contradictoires. Le site du marché indique « Saturday Mornings June 7 - October 11 9 am - 12 noon ... 100 Meadowcreek Drive », ce qui correspond au calendrier 2025; les dates municipales du 6 juin et du 10 octobre correspondent aux samedis de 2026."
"swon-017","Komoka Community Market","Komoka","Municipality of Middlesex Centre, Middlesex County","Komoka Wellness Centre, 1 Tunks Lane","","","farmers market","[""Saturday""]","Every Saturday, 9 a.m. to 12 p.m.; summer season runs annually from Victoria Day weekend until Thanksgiving weekend.","Tous les samedis, de 9 h à 12 h; la saison estivale s'étend chaque année du week-end de la fête de la Reine au week-end de l'Action de grâce.","Victoria Day weekend","Thanksgiving weekend","False","09:00","12:00","","Vendors must grow, produce or make their own product; specific products not listed.","Les marchands doivent cultiver, produire ou fabriquer eux-mêmes leurs produits; les produits précis ne sont pas énumérés.","https://www.komokacommunitymarket.com/","https://www.google.com/maps/search/?api=1&query=Komoka%20Community%20Market%2C%20Komoka%20Wellness%20Centre%2C%201%20Tunks%20Lane%2C%20Komoka%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Every saturday from 9AM to 12pm ... at 1 TUNKS LANE, KOMOKA, ONTARIO ... (Summer season runs annually from Victoria Day Weekend until Thanksgiving Weekend.)","Recurring season definition rather than fixed calendar dates. Middlesex County listed May 18 - October 12, 2025 for the 2025 season.","Définition récurrente de la saison plutôt que dates fixes. Le comté de Middlesex indiquait du 18 mai au 12 octobre 2025 pour la saison 2025."
"swon-018","North Middlesex Farmers Market","Parkhill","Municipality of North Middlesex, Middlesex County","229 Parkhill Main Street","","","seasonal community market","[""Friday""]","First and third Friday of every month, 4 p.m. to 8 p.m., June to September.","Le premier et le troisième vendredi de chaque mois, de 16 h à 20 h, de juin à septembre.","06-01","09-30","False","16:00","20:00","Twice-monthly market: first and third Fridays only.","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://www.northmiddlesex.on.ca/events/north-middlesex-farmers-market","https://www.google.com/maps/search/?api=1&query=North%20Middlesex%20Farmers%20Market%2C%20229%20Parkhill%20Main%20Street%2C%20Parkhill%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","From June-September on the 1st and 3rd Friday of every month! 4:00-8:00pm","FLAGGED - the municipal event page gives no address and no year; the street address 229 Parkhill Main Street comes from Middlesex County's 2025 market round-up (https://www.visitmiddlesex.ca/articles/article/fresh-finds-and-local-vibes-explore-middlesex-countys-farmers-markets).","SIGNALÉ - la page municipale ne donne ni adresse ni année; l'adresse 229 Parkhill Main Street provient du répertoire 2025 du comté de Middlesex."
"swon-020","Horton Farmers' Market","St. Thomas","City of St. Thomas, Elgin County","10 Manitoba Street","42.7795972","-81.1859674","farmers market","[""Saturday""]","Main season indoors and outdoors, Saturdays 8 a.m. to noon, May 9 to October 31, 2026; Winter At Horton runs indoors only, Saturdays 9 a.m. to 1 p.m., November 21, 2026 to April 24, 2027.","Saison principale à l'intérieur et à l'extérieur, les samedis de 8 h à midi, du 9 mai au 31 octobre 2026; « Winter At Horton » à l'intérieur seulement, les samedis de 9 h à 13 h, du 21 novembre 2026 au 24 avril 2027.","2026-05-09","2026-10-31","True","08:00","12:00","Gap between Oct 31 and Nov 21, 2026; one-day Horton Christmas Market November 14, 2026, 10 a.m. to 4 p.m.","Seasonal produce, handmade artisanal goods, hot breakfast, locally roasted coffee; winter season focuses on meats, dairy, honey and preserves.","Produits de saison, articles artisanaux, petit-déjeuner chaud, café torréfié localement; la saison hivernale met l'accent sur les viandes, les produits laitiers, le miel et les conserves.","https://www.hortonfarmersmarket.ca/","https://www.google.com/maps/search/?api=1&query=Horton%20Farmers%27%20Market%2C%2010%20Manitoba%20Street%2C%20St.%20Thomas%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","Main Season Indoors and Outdoors May 9 - October 31, 2026 Saturdays 8 AM - Noon ... Winter At Horton Indoors Only November 21, 2026 - April 24, 2027 Saturdays 9 AM - 1 PM","Effectively operates nearly year-round through two consecutive seasons with different hours; treated as year_round = true with a documented gap. Address 10 Manitoba Street from the Farmers' Markets Ontario listing (https://farmersmarketsontario.com/markets/horton-farmers-market).","Fonctionne pratiquement à l'année au moyen de deux saisons consécutives aux heures différentes; classé comme ouvert à l'année avec une interruption documentée. Adresse tirée de la fiche de Farmers' Markets Ontario."
"swon-021","Old Imperial Farmers' Market","Aylmer","Town of Aylmer, Elgin County","516 John Street N.","","","public market","[""Saturday""]","Open every Saturday, 8 a.m. to 3 p.m.","Ouvert tous les samedis, de 8 h à 15 h.","","","True","08:00","15:00","","n.a. - products not itemised on the source page; live music is programmed at the market.","n.a. - les produits ne sont pas énumérés sur la page source; de la musique en direct est présentée au marché.","https://www.oldimperialfarmersmarket.ca/","https://www.google.com/maps/search/?api=1&query=Old%20Imperial%20Farmers%27%20Market%2C%20516%20John%20Street%20N.%2C%20Aylmer%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Open every Saturday 8am - 3pm ... 516 John Street N. Aylmer, ON","Indoor market in the former Imperial Leaf Tobacco building; the site states its mandate is ""To create a sustainable, year-round market"". No season dates or schedule year published.","Marché intérieur dans l'ancien édifice Imperial Leaf Tobacco; le site indique vouloir « créer un marché durable, ouvert à l'année ». Aucune date de saison ni année d'horaire publiée."
"swon-022","Aylmer Sales Arena & Farmers Market","Aylmer","Town of Aylmer, Elgin County","51 Murray Street","","","public market","[""Tuesday"", ""Saturday""]","Open Tuesdays 9 a.m. to 3 p.m. during market season (May through October), and year-round on Saturdays.","Ouvert les mardis de 9 h à 15 h pendant la saison des marchés (de mai à octobre) et à l'année les samedis.","","","True","09:00","15:00","","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://aylmersalesarena.com/","https://www.google.com/maps/search/?api=1&query=Aylmer%20Sales%20Arena%20%26%20Farmers%20Market%2C%2051%20Murray%20Street%2C%20Aylmer%2C%20Ontario%2C%20Canada","official market","","2026-08-28","Medium","The Aylmer Sales Arena & Farmers Market is located at 51 Murray Street, Aylmer Ontario. We are open Tuesdays during market season (May through October) from 9:00am to 3:00pm. ... The market is also open year-around on Saturdays for all to enjoy!","Saturday hours are not stated separately; the 9 a.m.-3 p.m. times are those published for Tuesdays. No schedule year published.","Les heures du samedi ne sont pas précisées séparément; les heures de 9 h à 15 h sont celles publiées pour le mardi. Aucune année d'horaire publiée."
"swon-023","Woodstock Farmers' Market","Woodstock","City of Woodstock, Oxford County","Woodstock Fairgrounds, 875 Nellis Street","43.1340971","-80.738908","farmers market","[""Saturday""]","Every Saturday, 7 a.m. to 12 p.m., all year round.","Tous les samedis, de 7 h à 12 h, à l'année.","","","True","07:00","12:00","","Fruit (peaches, plums, blueberries, apples), peak summer produce, baked goods, eggs, fresh-cut flowers and plants.","Fruits (pêches, prunes, bleuets, pommes), légumes d'été, produits de boulangerie, œufs, fleurs coupées et plantes.","https://woodstockfairgrounds.com/market/home","https://www.google.com/maps/search/?api=1&query=Woodstock%20Farmers%27%20Market%2C%20Woodstock%20Fairgrounds%2C%20875%20Nellis%20Street%2C%20Woodstock%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Every Saturday 7 AM - 12 PM ... Join us every Saturday morning from 7 AM - 12 PM ... 875 Nellis St, Woodstock, ON N4S 4C6 ... Visit all year round","Year-round market. The Farmers' Markets Ontario listing confirms an operating season of January 2 to December 31, 2026 (https://farmersmarketsontario.com/markets/woodstock-farmers-market).","Marché ouvert à l'année. La fiche de Farmers' Markets Ontario confirme une saison du 2 janvier au 31 décembre 2026."
