hs_code,heading,description,full_description,tariff_rate_pct,sector,import_value_cad,value_year,value_scope,source_url
0404.10.90,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.","- Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Other","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Other",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0404.90.10,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.",- Other: Within access commitment,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Other: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0404.90.20,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.",- Other: Over access commitment,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Other: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.10.10,Cheese and curd.,"- Fresh (unripened or uncured) cheese, including whey cheese, and curd: Within access commitment","Cheese and curd. - Fresh (unripened or uncured) cheese, including whey cheese, and curd: Within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.10.20,Cheese and curd.,"- Fresh (unripened or uncured) cheese, including whey cheese, and curd: Over access commitment","Cheese and curd. - Fresh (unripened or uncured) cheese, including whey cheese, and curd: Over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.20.11,Cheese and curd.,"- Grated or powdered cheese, of all kinds: Cheddar and Cheddar types: Within access commitment","Cheese and curd. - Grated or powdered cheese, of all kinds: Cheddar and Cheddar types: Within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.20.12,Cheese and curd.,"- Grated or powdered cheese, of all kinds: Cheddar and Cheddar types: Over access commitment","Cheese and curd. - Grated or powdered cheese, of all kinds: Cheddar and Cheddar types: Over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.20.91,Cheese and curd.,"- Grated or powdered cheese, of all kinds: Other: Within access commitment","Cheese and curd. - Grated or powdered cheese, of all kinds: Other: Within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.20.92,Cheese and curd.,"- Grated or powdered cheese, of all kinds: Other: Over access commitment","Cheese and curd. - Grated or powdered cheese, of all kinds: Other: Over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.30.10,Cheese and curd.,"- Processed cheese, not grated or powdered: Within access commitment","Cheese and curd. - Processed cheese, not grated or powdered: Within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.30.20,Cheese and curd.,"- Processed cheese, not grated or powdered: Over access commitment","Cheese and curd. - Processed cheese, not grated or powdered: Over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.40.10,Cheese and curd.,- Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti: Within access commitment,Cheese and curd. - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.40.20,Cheese and curd.,- Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti: Over access commitment,Cheese and curd. - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.11,Cheese and curd.,- Other cheese: Cheddar and Cheddar types: Within access commitment,Cheese and curd. - Other cheese: Cheddar and Cheddar types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.12,Cheese and curd.,- Other cheese: Cheddar and Cheddar types: Over access commitment,Cheese and curd. - Other cheese: Cheddar and Cheddar types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.21,Cheese and curd.,- Other cheese: Camembert and Camembert types: Within access commitment,Cheese and curd. - Other cheese: Camembert and Camembert types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.22,Cheese and curd.,- Other cheese: Camembert and Camembert types: Over access commitment,Cheese and curd. - Other cheese: Camembert and Camembert types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.31,Cheese and curd.,- Other cheese: Brie and Brie types: Within access commitment,Cheese and curd. - Other cheese: Brie and Brie types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.32,Cheese and curd.,- Other cheese: Brie and Brie types: Over access commitment,Cheese and curd. - Other cheese: Brie and Brie types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.41,Cheese and curd.,- Other cheese: Gouda and Gouda types: Within access commitment,Cheese and curd. - Other cheese: Gouda and Gouda types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.42,Cheese and curd.,- Other cheese: Gouda and Gouda types: Over access commitment,Cheese and curd. - Other cheese: Gouda and Gouda types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.51,Cheese and curd.,- Other cheese: Provolone and Provolone types: Within access commitment,Cheese and curd. - Other cheese: Provolone and Provolone types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.52,Cheese and curd.,- Other cheese: Provolone and Provolone types: Over access commitment,Cheese and curd. - Other cheese: Provolone and Provolone types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.61,Cheese and curd.,- Other cheese: Mozzarella and Mozzarella types: Within access commitment,Cheese and curd. - Other cheese: Mozzarella and Mozzarella types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.62,Cheese and curd.,- Other cheese: Mozzarella and Mozzarella types: Over access commitment,Cheese and curd. - Other cheese: Mozzarella and Mozzarella types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.71,Cheese and curd.,- Other cheese: Swiss/Emmental and Swiss/Emmental types: Within access commitment,Cheese and curd. - Other cheese: Swiss/Emmental and Swiss/Emmental types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.72,Cheese and curd.,- Other cheese: Swiss/Emmental and Swiss/Emmental types: Over access commitment,Cheese and curd. - Other cheese: Swiss/Emmental and Swiss/Emmental types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.81,Cheese and curd.,- Other cheese: Gruyère and Gruyère types: Within access commitment,Cheese and curd. - Other cheese: Gruyère and Gruyère types: Within access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.82,Cheese and curd.,- Other cheese: Gruyère and Gruyère types: Over access commitment,Cheese and curd. - Other cheese: Gruyère and Gruyère types: Over access commitment,25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.91,Cheese and curd.,"- Other cheese: Other: Havarti and Havarti types, within access commitment","Cheese and curd. - Other cheese: Other: Havarti and Havarti types, within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.92,Cheese and curd.,"- Other cheese: Other: Havarti and Havarti types, over access commitment","Cheese and curd. - Other cheese: Other: Havarti and Havarti types, over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.93,Cheese and curd.,"- Other cheese: Other: Parmesan and Parmesan types, within access commitment","Cheese and curd. - Other cheese: Other: Parmesan and Parmesan types, within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.94,Cheese and curd.,"- Other cheese: Other: Parmesan and Parmesan types, over access commitment","Cheese and curd. - Other cheese: Other: Parmesan and Parmesan types, over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.95,Cheese and curd.,"- Other cheese: Other: Romano and Romano types, within access commitment","Cheese and curd. - Other cheese: Other: Romano and Romano types, within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.96,Cheese and curd.,"- Other cheese: Other: Romano and Romano types, over access commitment","Cheese and curd. - Other cheese: Other: Romano and Romano types, over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.98,Cheese and curd.,"- Other cheese: Other: Other, within access commitment","Cheese and curd. - Other cheese: Other: Other, within access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0406.90.99,Cheese and curd.,"- Other cheese: Other: Other, over access commitment","Cheese and curd. - Other cheese: Other: Other, over access commitment",25,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0409.00.00,Natural honey.,,Natural honey.,50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1703.10.10,Molasses resulting from the extraction or refining of sugar.,- Cane molasses: Powder with admixture other than colouring or anti-caking agents,Molasses resulting from the extraction or refining of sugar. - Cane molasses: Powder with admixture other than colouring or anti-caking agents,50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1703.10.90,Molasses resulting from the extraction or refining of sugar.,- Cane molasses: Other,Molasses resulting from the extraction or refining of sugar. - Cane molasses: Other,50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1703.90.10,Molasses resulting from the extraction or refining of sugar.,- Other: Powder with admixture other than colouring or anti-caking agents,Molasses resulting from the extraction or refining of sugar. - Other: Powder with admixture other than colouring or anti-caking agents,50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1703.90.90,Molasses resulting from the extraction or refining of sugar.,- Other: Other,Molasses resulting from the extraction or refining of sugar. - Other: Other,50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1901.20.11,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","- Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, within access commitment","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included. - Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, within access commitment",50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1901.20.12,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","- Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, over access commitment","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included. - Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, over access commitment",50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1901.20.13,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","- Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Other, containing 25% or more by weight of wheat, within access commitment","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included. - Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Other, containing 25% or more by weight of wheat, within access commitment",50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
1901.20.14,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","- Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Other, in packages of a weight not exceeding 454 g each, containing 25% or more by weight of wheat, over access commitment; Frozen, for bread, buns, rolls and pizza crusts, in packages of a weight not exceeding 900 g each, containing 25% or more by weight of wheat, over access commitment","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included. - Mixes and doughs for the preparation of bakers' wares of heading 19.05: In packages of a weight not exceeding 11.34 kg each: Other, in packages of a weight not exceeding 454 g each, containing 25% or more by weight of wheat, over access commitment; Frozen, for bread, buns, rolls and pizza crusts, in packages of a weight not exceeding 900 g each, containing 25% or more by weight of wheat, over access commitment",50,Food & beverages,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
